,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
$boxHeight,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm,200mm
$boxX,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm
$boxY,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm,30mm
$boxZ,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm,80mm
$cavityHeight,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm,40mm
$cavityRadius,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm
$coaxHeight,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm,8.5mm
$coaxOffset,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm
$coaxRad,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm,2.5mm
$fingerHeight,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm,0.002mm
$fingerLen,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm,0.01mm
$junctionLen,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm,0.0050000000000000001mm
$LJ,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH,5nH
$padHeight,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm,0.20000000000000001mm
$padLen,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm,1.5mm
$pin1len,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm
$pin2len,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm
$port1Offset,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm,8mm
$port2Len,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm
$port2offset,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm,9mm
$portLen,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm,14mm
$portRadius,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm,1.25mm
$qubHoleOffset,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm
$qubitCentDist,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm,6mm
$qubitHole,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm,1mm
$qubSapThick,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm,0.38mm
$qubSapZ,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm,1.7mm
$rodOffset,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm,5mm
$rodRad,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm,2mm
